text,label
Subscription Invoice | Provider: Bright Systems | Subscriber: CloudWorks | Plan: Consulting | Billing Period: 21-02-2026 | Base Charge: Rs 34269 | GST: Rs 4112 | Amount Due: Rs 38381,invoice
Utility Invoice | Service Provider: Metro Services | Account Holder: CloudWorks | Bill Date: 05-02-2025 | Usage Charges: Rs 13249 | Taxes: Rs 2384 | Total Payable: Rs 15633,invoice
Quotation | Vendor: CloudWorks | Customer: Bright Systems | Product: Monitor | Quantity: 4 | Estimated Price: Rs 33381 | Valid Until: 02-05-2025,unknown
Business Contract | Company A: ABC Solutions | Company B: TechNova Pvt Ltd | Contract Reference: 9446 | Service: Digital Marketing | Agreement Status: Pending,unknown
Subscription Invoice | Provider: ABC Solutions | Subscriber: Global Traders | Plan: Digital Marketing | Billing Period: 20-07-2024 | Base Charge: Rs 28014 | GST: Rs 3361 | Amount Due: Rs 31375,invoice
Fuel Receipt | Station: Metro Mart | Date: 17-01-2026 | Fuel Quantity: 5 | Rate: Rs 1917 | Total Paid: Rs 54919 | Payment: Cash,receipt
Cash Receipt | Merchant: Metro Mart | Customer Payment Received | Product: Mobile Phone | Amount: Rs 22137 | Change Returned: Rs 119,receipt
Purchase Order | Buyer: CloudWorks | Supplier: Metro Services | Order Number: 4075 | Product: Stationery | Quantity: 10 | Delivery Date: 08-01-2026,unknown
Receipt | Store: Local Pharmacy | Purchase Date: 27-02-2026 | Items: Laptop | Quantity: 10 | Total Paid: Rs 3278 | Payment Method: Cash,receipt
Purchase Invoice | Supplier: TechNova Pvt Ltd | Buyer: Global Traders | Order Ref: 6438 | Items: Software License | Units: 7 | Unit Cost: Rs 2877 | Tax: Rs 5841 | Total Payable: Rs 54522,invoice
Cash Receipt | Merchant: Reliance Digital | Customer Payment Received | Product: Keyboard | Amount: Rs 42656 | Change Returned: Rs 314,receipt
Sales Invoice | Seller: Metro Services | Bill To: Bright Systems | Product: Printer | Quantity: 3 | Rate: Rs 4595 | Discount: Rs 962 | Tax: Rs 5390 | Net Amount: Rs 35336,invoice
Card Payment Receipt | Merchant: Fresh Store | Purchase Date: 23-10-2024 | Transaction ID: 9202 | Amount Paid: Rs 31070 | Payment: Credit Card,receipt
